X	0	4	8	12	16	20	0	4	8	12	16	20	0	4	8	12	16	20	0	4	8	12	16	20
WT-AL-% 2n	51.4	60.77	57.91	66.46	58.77	61.24	47.29	52.57	60.02	53.85	65.62	56.99	62.02	59.85	62.56	67.27	62.34	64.4	62.15	73.46	60.8	63.52	58.62	62.21
WT-AL-% 4n	42.43	35.61	37.3	29.6	36.95	33.84	44.51	42.22	36.16	40.37	29.82	38.23	32.2	35.43	31.7	28.79	32.61	30.42	34.28	24.14	34.49	32.73	36.15	32.29
WT-AL-% 6n	0.71	0.4	0.66	0.75	0.54	0.78	0.49	0.77	0.47	0.88	0.47	0.79	0.43	0.45	0.52	0.46	0.42	0.82	0.55	0.35	0.66	0.58	0.37	0.7
WT-AL-% 8n	3.63	1.48	2.51	1.23	1.96	1.58	5.79	2.68	1.73	2.85	1.36	2.25	2.48	1.82	1.12	0.75	0.92	0.92	1.24	0.53	1.16	0.77	1.4	1.24
WT-D-% 2n	60.19	54.88	56.96	56.45	58.75	63.61	57.86	53.26	62.08	53.58	51.53	62.39	67.93	59.58	63.73	60.81	72.89	69.28	64.33	67.67	63.02	64.72	63.4	68.97
WT-D-% 4n	36.09	40.66	37.66	38.85	37.28	32.69	37.38	40.36	33.51	41.85	44.17	33.48	28.68	34.35	33.13	35.34	21.96	26.69	32.63	29.6	34.18	31.84	33.72	28.51
WT-D-% 6n	0.53	0.34	0.3	0.64	0.23	0.5	0.5	0.43	0.5	0.37	0.46	0.51	0.51	0.61	0.48	0.62	0.42	0.69	0.51	0.38	0.43	0.57	0.34	0.48
WT-D-% 8n	1.58	2.72	2.48	2.89	1.22	1.11	1.8	4.29	1.9	2.99	2.43	0.88	0.83	2.97	0.96	1.32	0.57	1.03	1.09	0.99	0.96	0.99	1.09	0.63
WT-N-% 2n	58.4	64.55	61.5	60.84	64.68	64.76	53.94	59.67	52.98	48.5	55.37	57.83	56.11	61.35	58.78	52.31	58.46	62.66	58.88	71.49	68.84	58.37	66.56	65.54
WT-N-% 4n	37.16	32.08	33.78	34.86	32.27	32.14	40.6	34.12	40.73	45.38	39.81	37.52	40.47	35.93	37.58	41.79	37.43	34.28	37.02	25.46	28.94	37.86	31.35	31.44
WT-N-% 6n	0.32	0.41	0.42	0.3	0.33	0.48	0.44	0.51	0.59	0.45	0.3	0.55	0.4	0.44	0.45	0.65	0.52	0.54	0.59	0.45	0.36	0.39	0.32	0.61
WT-N-% 8n	2.43	1.28	1.51	1.23	1.17	0.83	3.24	2.22	2.66	2.97	2.49	1.45	1.86	1.29	1.47	2.68	1.64	1.09	1.56	0.63	0.58	1.43	0.83	0.83
Ob-AL-% 2n	57.8	49.76	44.15	72.93	52.31	53.95	59.03	64.08	57.9	45.18	47.48	54.47	61.35	57.7	66.4	65.93	68.08	62.63	57.37	61.9	62.04	64.57	61.96	65.87
Ob-AL-% 4n	39.37	45.85	49.8	24.74	44.48	42.44	37.39	32.5	39.14	50.16	48.1	42.45	35.79	38.01	31.28	31.51	29.55	34.63	39.46	34.78	35.41	31.88	35.16	31.22
Ob-AL-% 6n	0.54	0.46	0.47	0.44	0.56	0.69	0.58	0.58	0.46	0.6	0.66	0.64	0.46	0.61	0.47	0.45	0.36	0.52	0.47	0.6	0.37	0.39	0.48	0.7
Ob-AL-% 8n	1.56	2.86	4.66	0.76	1.85	1.96	1.93	1.64	1.47	3.24	2.72	1.73	0.96	2.31	0.56	0.62	0.84	0.92	1.34	1.11	0.79	1.19	1.11	0.91
Ob-D-% 2n	58.77	58.16	52.56	71.43	63.29	60.56	54.71	58.71	52.59	49.22	62	63.91	56.14	60.3	57.27	62.29	58.56	60.24	60.47	73.06	56.46	57.15	62.51	64.66
Ob-D-% 4n	37.29	39.11	44.32	25.61	34.07	36.34	42.5	39	43.98	47.01	34.22	34.05	40.08	36.42	38.76	35.13	38.68	37.18	36.08	24.7	40.71	40.16	34.27	32.97
Ob-D-% 6n	0.91	0.56	0.83	0.75	0.59	0.54	0.6	0.45	0.68	0.64	0.7	0.46	1	0.44	0.65	0.66	0.45	0.69	0.68	0.56	0.55	0.56	0.53	0.42
Ob-D-% 8n	1.69	1.17	1.44	0.76	1.05	1.3	1.25	1.02	1.54	2.13	1.34	0.48	1.58	1.5	2.11	0.86	1.15	1.02	1.62	0.45	1.36	1.2	1.17	0.81
Ob-N-% 2n	62.42	60.99	56.73	50.5	55.17	62	55.82	58.19	56.62	52.61	49.09	49.81	65.81	65.84	57.49	51.11	53.33	57.6	56.16	58.2	58.69	58.89	56.7	54.3
Ob-N-% 4n	34.97	35.18	40.33	44.3	40.49	34.98	39.26	39.22	40.84	44.18	44.37	45.31	31.43	31.26	40.22	45.69	43.86	37.52	41.18	39.62	37.94	38.17	39.9	42.48
Ob-N-% 6n	0.39	0.58	0.31	0.72	0.4	0.43	0.46	0.39	0.4	0.56	0.52	0.48	0.53	0.32	0.29	0.43	0.52	0.82	0.44	0.46	0.67	0.59	0.55	0.53
Ob-N-% 8n	0.9	1.19	1.25	3.04	2.08	0.77	2.34	1.1	1.43	1.62	3.7	2.47	1.12	1.51	1.22	2.11	1.42	1.51	1.46	1.02	1.43	1.29	1.62	1.55
