File Name,Feeding,ZT,Mouse,Sample,Experience ,NO,Date of Exp 
Image _01,ad-libitum,0,R-F_AL_WT_ZT_00_,WT_1,1,1,06_2014
Image _02,ad-libitum,4,R-F_AL_WT_ZT_04_,WT_2,1,2,06_2014
Image _03,ad-libitum,8,R-F_AL_WT_ZT_08_,WT_3,1,3,06_2014
Image _04,ad-libitum,12,R-F_AL_WT_ZT_12_,WT_4,1,4,06_2014
Image _05,ad-libitum,16,R-F_AL_WT_ZT_16_,WT_5,1,5,06_2014
Image _06,ad-libitum,20,R-F_AL_WT_ZT_20_,WT_6,1,6,06_2014
Image _07,ad-libitum,24,R-F_AL_WT_ZT_24_,WT_7,1,7,06_2014
Image _08,ad-libitum,28,R-F_AL_WT_ZT_28_,WT_8,1,8,06_2014
Image _09,ad-libitum,32,R-F_AL_WT_ZT_32_,WT_9,1,9,06_2014
Image _10,ad-libitum,36,R-F_AL_WT_ZT_36_,WT_10,1,10,06_2014
Image _11,ad-libitum,40,R-F_AL_WT_ZT_40_,WT_11,1,11,06_2014
Image _12,ad-libitum,44,R-F_AL_WT_ZT_44_,WT_12,1,12,06_2014
Image _13,Day (ZT2-ZT10),0,R-F_D_WT_ZT_00_,WT_13,1,13,06_2014
Image _14,Day (ZT2-ZT10),4,R-F_D_WT_ZT_04_,WT_14,1,14,06_2014
Image _15,Day (ZT2-ZT10),8,R-F_D_WT_ZT_08_,WT_15,1,15,06_2014
Image _16,Day (ZT2-ZT10),12,R-F_D_WT_ZT_12_,WT_16,1,16,06_2014
Image _17,Day (ZT2-ZT10),16,R-F_D_WT_ZT_16_,WT_17,1,17,06_2014
Image _18,Day (ZT2-ZT10),20,R-F_D_WT_ZT_20_,WT_18,1,18,06_2014
Image _19,Day (ZT2-ZT10),24,R-F_D_WT_ZT_24_,WT_19,1,19,06_2014
Image _20,Day (ZT2-ZT10),28,R-F_D_WT_ZT_28_,WT_20,1,20,06_2014
Image _21,Day (ZT2-ZT10),32,R-F_D_WT_ZT_32_,WT_21,1,21,06_2014
Image _22,Day (ZT2-ZT10),36,R-F_D_WT_ZT_36_,WT_22,1,22,06_2014
Image _23,Day (ZT2-ZT10),40,R-F_D_WT_ZT_40_,WT_23,1,23,06_2014
Image _24,Day (ZT2-ZT10),44,R-F_D_WT_ZT_44_,WT_24,1,24,06_2014
Image _25,Night (ZT14-ZT22),0,R-F_N_WT_ZT_00_,WT_25,1,25,06_2014
Image _26,Night (ZT14-ZT22),4,R-F_N_WT_ZT_04_,WT_26,1,26,06_2014
Image _27,Night (ZT14-ZT22),8,R-F_N_WT_ZT_08_,WT_27,1,27,06_2014
Image _28,Night (ZT14-ZT22),12,R-F_N_WT_ZT_12_,WT_28,1,28,06_2014
Image _29,Night (ZT14-ZT22),16,R-F_N_WT_ZT_16_,WT_29,1,29,06_2014
Image _30,Night (ZT14-ZT22),20,R-F_N_WT_ZT_20_,WT_30,1,30,06_2014
Image _31,Night (ZT14-ZT22),24,R-F_N_WT_ZT_24_,WT_31,1,31,06_2014
Image _32,Night (ZT14-ZT22),28,R-F_N_WT_ZT_28_,WT_32,1,32,06_2014
Image _33,Night (ZT14-ZT22),32,R-F_N_WT_ZT_32_,WT_33,1,33,06_2014
Image _34,Night (ZT14-ZT22),36,R-F_N_WT_ZT_36_,WT_34,1,34,06_2014
Image _35,Night (ZT14-ZT22),40,R-F_N_WT_ZT_40_,WT_35,1,35,06_2014
Image _36,Night (ZT14-ZT22),44,R-F_N_WT_ZT_44_,WT_36,1,36,06_2014
Image _37,ad-libitum,0,R-F_AL_WT_ZT_00_,WT_1,2,1,02_2015
Image _38,ad-libitum,4,R-F_AL_WT_ZT_04_,WT_2,2,2,02_2015
Image _39,ad-libitum,8,R-F_AL_WT_ZT_08_,WT_3,2,3,02_2015
