image.name	Feeding	ZT	Mouse	Sample	Experience	NO	Date.of.Exp	condition	facs.2n	facs.4n	facs.6n	facs.8n	image.width	image.length	nb.cell.detected	percent.binucleated	cell.size.mono.mean	cell.size.binu.mean	cell.size.all.mean	nucleus.size.all.2c	nucleus.size.all.4c	nucleus.size.all.8c	nucleus.percent.all.2c	nucleus.percent.all.4c	nucleus.percent.all.8c	cell.percent.mono.2c	cell.percent.mono.4c	cell.percent.mono.8c	cell.percent.binu.4c	cell.percent.binu.8c
Image_01	ad-libitum	ZT0	R-F_AL_Ob_ZT_00_	Ob.AL.ZT0	1	1	06_2014	AL	57.8	39.37	0.54	1.56	23926	33106	1496	0.0775401069518717	4379	5960.5	4481.5	277.18958183421	440.065435349976	713.834898750501	0.550073959620991	0.41728602809	0.0326400122890096	0.477841314305462	0.410917601874488	0.0337009768681786	0.0574427194879898	0.0193624147315663
Image_02	ad-libitum	ZT4	R-F_AL_Ob_ZT_04_	Ob.AL.ZT4	1	2	06_2014	AL	49.76	45.85	0.46	2.86	16560	33914	2419	0.0839189747829682	3781	4511	3857	255.439948514019	413.868835955258	674.324007109064	0.47581081708348	0.483103135032939	0.0410860478835809	0.39649335381684	0.477212263156753	0.0423754082434391	0.0596235096134663	0.0232161958412939
Image_03	ad-libitum	ZT8	R-F_AL_Ob_ZT_08_	Ob.AL.ZT8	1	3	06_2014	AL	44.15	49.8	0.47	4.66	17045	22347	1628	0.117321867321867	3433	4460	3539	277.153928330687	482.144567069251	784.972819023661	0.442687783454587	0.505746503049213	0.0515657134961998	0.351430625182874	0.478875263220187	0.0523722442750713	0.0715970578335918	0.0431031819791319
Image_04	ad-libitum	ZT12	R-F_AL_Ob_ZT_12_	Ob.AL.ZT12	1	4	06_2014	AL	72.93	24.74	0.44	0.76	13489	39248	3957	0.130149102855699	2252.5	2830	2334	287.694734374957	474.372648735525	754.870416351156	0.701652333608355	0.281136007997171	0.0172116583944741	0.570982035702606	0.279417121148858	0.0194517402928368	0.110994859820742	0.0191542430347887
Image_05	ad-libitum	ZT16	R-F_AL_Ob_ZT_16_	Ob.AL.ZT16	1	5	06_2014	AL	52.31	44.48	0.56	1.85	18318	33995	3020	0.0860927152317881	3668.5	4244	3702.5	293.761040332905	492.8709040713	640.316097380543	0.525637115268472	0.455315611202385	0.0190472735291433	0.438158206377528	0.455061977714358	0.0206871006763255	0.0663662176855051	0.0197264953719308
Image_06	ad-libitum	ZT20	R-F_AL_Ob_ZT_20_	Ob.AL.ZT20	1	6	06_2014	AL	53.95	42.44	0.69	1.96	16611	24842	1138	0.0957820738137083	3538	4089	3560	260.719557387528	438.854692863933	685.04105576897	0.556026143056987	0.44016794792214	0.00380590902087229	0.471728851868926	0.428318627437728	0.00417044687963774	0.0687773141323487	0.0270047596813596
Image_07	ad-libitum	ZT24	R-F_AL_Ob_ZT_24_	Ob.AL.ZT24	1	7	06_2014	AL	59.03	37.39	0.58	1.93	19147	34803	1194	0.0753768844221105	4557.5	5889.5	4600.5	295.466799490275	489.058735653052	803.635359835311	0.579547485998558	0.395607262287713	0.0248452517137296	0.491533002227784	0.406372103970135	0.0267180093799699	0.0658494838200055	0.00952740060179317
Image_08	ad-libitum	ZT28	R-F_AL_Ob_ZT_28_	Ob.AL.ZT28	1	8	06_2014	AL	64.08	32.5	0.58	1.64	13873	25812	1698	0.0965842167255595	3168.5	3776.5	3235.5	279.730752776144	433.079006500411	631.004388900175	0.659028685927191	0.325501861928991	0.0154694521438179	0.55805488950485	0.329190870247682	0.0161700235219086	0.0823127829261466	0.0138746670292161
Image_09	ad-libitum	ZT32	R-F_AL_Ob_ZT_32_	Ob.AL.ZT32	1	9	06_2014	AL	57.9	39.14	0.46	1.47	22915	39046	3856	0.0897302904564315	4306.5	5890	4417.5	307.699170626258	507.1804611902	811.485233122879	0.567001273138477	0.410844151178441	0.0221545756830827	0.47924818270666	0.408166227484983	0.0228552993519254	0.0693151396798495	0.0197715443555124
Image_10	ad-libitum	ZT36	R-F_AL_Ob_ZT_36_	Ob.AL.ZT36	1	10	06_2014	AL	45.18	50.16	0.6	3.24	28967	45512	2546	0.129222309505106	4927	8248	5231.5	310.069275208161	517.008017556013	750.87031279897	0.459137198100332	0.508982871979051	0.0318799299206166	0.359931613454708	0.478738918269866	0.0321071587703199	0.0792681768819259	0.0480079479624302
Image_11	ad-libitum	ZT40	R-F_AL_Ob_ZT_40_	Ob.AL.ZT40	1	11	06_2014	AL	47.48	48.1	0.66	2.72	22936	31975	2301	0.112559756627553	4123	5342	4204	284.293900388963	484.18754338131	769.129815882136	0.495445946259341	0.47938270499105	0.0251713487496087	0.405349469292379	0.459208807818383	0.0228819662616844	0.0729318760500107	0.0370665488889588
Image_12	ad-libitum	ZT44	R-F_AL_Ob_ZT_44_	Ob.AL.ZT44	1	12	06_2014	AL	54.47	42.45	0.64	1.73	15368	30762	1699	0.0818128310771042	3397	4216	3466	276.386642952814	469.797185045697	710.54163681845	0.535424155844103	0.443598753503371	0.0209770906525262	0.461513109863601	0.433980773365464	0.0226932856938311	0.0588578059985881	0.0229550250121463
Image_37	ad-libitum	ZT48	R-F_AL_Ob_ZT_00_	Ob.AL.ZT48	2	1	02_2015	AL	61.35	35.79	0.46	0.96	32645	35611	5732	0.0860083740404745	4060	5657	4164.5	299.573671747331	473.955375679398	755.742301992367	0.594432042380982	0.383350533444352	0.0222174241746664	0.523680221436728	0.368956539711425	0.0213548648113733	0.0609389771935003	0.0236826749010123
Image_38	ad-libitum	ZT52	R-F_AL_Ob_ZT_04_	Ob.AL.ZT52	2	2	02_2015	AL	57.7	38.01	0.61	2.31	24188	22983	3941	0.107586906876427	3129	3814	3206	289.776405288339	483.031090425248	756.61729691466	0.550349326035969	0.411660878478012	0.0379897954860192	0.443043202384496	0.407648661653891	0.0417212290851863	0.0832582526706046	0.0241507687108018
Image_39	ad-libitum	ZT56	R-F_AL_Ob_ZT_08_	Ob.AL.ZT56	2	3	02_2015	AL	66.4	31.28	0.47	0.56	20854	28540	5828	0.101407000686342	2539	2969	2595	276.17943374123	455.999946729574	656.340146879732	0.625029470229626	0.364261706400429	0.0107088233699443	0.519693982408448	0.368373373354676	0.0105256435505336	0.0843589258688688	0.0164135100783547
Image_40	ad-libitum	ZT60	R-F_AL_Ob_ZT_12_	Ob.AL.ZT60	2	4	02_2015	AL	65.93	31.51	0.45	0.62	26654	33288	4740	0.0951476793248945	3170	4289	3242.5	283.944939637086	483.593072868567	728.832356749713	0.622234627220382	0.365095965045362	0.0126694077342562	0.542284218724202	0.350986279107271	0.0115818228436327	0.0695772946358955	0.0244238598715196
Image_41	ad-libitum	ZT64	R-F_AL_Ob_ZT_16_	Ob.AL.ZT64	2	5	02_2015	AL	68.08	29.55	0.36	0.84	20703	42986	10972	0.0931461903025884	2604	3330.5	2667	301.525785244699	499.528302717109	793.720507298126	0.644695317066115	0.335268745726167	0.0200359372077186	0.545998730364944	0.339632603573357	0.0212224757591114	0.0793737496958996	0.0134325742723648
Image_42	ad-libitum	ZT68	R-F_AL_Ob_ZT_20_	Ob.AL.ZT68	2	6	02_2015	AL	62.63	34.63	0.52	0.92	20844	36622	4997	0.0698419051430859	3408.5	4075	3457	283.638020509199	469.550124141065	735.20989994094	0.593101187400322	0.38536961566256	0.0215291969371175	0.522897110971542	0.384530621942299	0.0227303619430734	0.0558136966497226	0.0138769709311967
Image_43	ad-libitum	ZT72	R-F_AL_Ob_ZT_24_	Ob.AL.ZT72	2	7	02_2015	AL	57.37	39.46	0.47	1.34	25350	35005	3367	0.0763290763290763	4153.5	5225	4229	292.657137040871	469.172401791772	711.36219391761	0.566103715006603	0.415586230801879	0.0183100541915188	0.492820263496584	0.41156180935143	0.01928885082291	0.0582468125914656	0.0178728672913193
Image_44	ad-libitum	ZT76	R-F_AL_Ob_ZT_28_	Ob.AL.ZT76	2	8	02_2015	AL	61.9	34.78	0.6	1.11	32999	37531	6042	0.0728235683548494	4038.5	5085	4111	301.985831216204	508.334289371698	831.48254017443	0.607245401502589	0.372368962917582	0.0203856355798289	0.528317204558578	0.377518017588991	0.0213412094975813	0.0615749869742512	0.010984090976422
Image_45	ad-libitum	ZT80	R-F_AL_Ob_ZT_32_	Ob.AL.ZT80	2	9	02_2015	AL	62.04	35.41	0.37	0.79	35060	32985	5515	0.108612873980054	3955	4571	4014	320.494054263022	564.565509618519	871.386222290924	0.622838165518512	0.366980769405659	0.0101810650758295	0.510006297365348	0.370253668733544	0.0111271599210537	0.0902400556672972	0.0182929683663373
Image_46	ad-libitum	ZT84	R-F_AL_Ob_ZT_36_	Ob.AL.ZT84	2	10	02_2015	AL	64.57	31.88	0.39	1.19	15641	28439	2862	0.0894479385045423	2775.5	3389	2837	324.265987439086	555.31637557078	865.596514114643	0.657729562178429	0.328200620773652	0.0140698170479195	0.556160849687613	0.339062878629888	0.0153283331779561	0.0802006329605854	0.00924730554393892
Image_47	ad-libitum	ZT88	R-F_AL_Ob_ZT_40_	Ob.AL.ZT88	2	11	02_2015	AL	61.96	35.16	0.48	1.11	40607	29550	5839	0.0972769309813324	4123	5584.5	4227	308.360805483391	537.979321911747	835.876024545294	0.614447041133355	0.368424425394587	0.0171285334720573	0.523066972532891	0.363150478056913	0.0165056184288635	0.075575795506239	0.0205565723693101
Image_48	ad-libitum	ZT92	R-F_AL_Ob_ZT_44_	Ob.AL.ZT92	2	12	02_2015	AL	65.87	31.22	0.7	0.91	34393	28742	6986	0.106069281419983	3898	4950	3987.5	316.040182745954	547.066054542062	849.721632595456	0.627590031179888	0.352965790772333	0.0194441780477797	0.521426980078514	0.352573491753832	0.0199302467476709	0.0863655373674846	0.0189155634057787
