image.name	Feeding	ZT	Mouse	Sample	Experience	NO	Date.of.Exp	condition	facs.2n	facs.4n	facs.6n	facs.8n	image.width	image.length	nb.cell.detected	percent.binucleated	cell.size.mono.mean	cell.size.binu.mean	cell.size.all.mean	nucleus.size.all.2c	nucleus.size.all.4c	nucleus.size.all.8c	nucleus.percent.all.2c	nucleus.percent.all.4c	nucleus.percent.all.8c	cell.percent.mono.2c	cell.percent.mono.4c	cell.percent.mono.8c	cell.percent.binu.4c	cell.percent.binu.8c
Image_01	ad-libitum	ZT0	R-F_AL_WT_ZT_00_	WT.AL.ZT0	1	1	06_2014	AL	51.4	42.43	0.71	3.63	16166	27125	4668	0.146101113967438	2765	3634.5	2884	304.312438497147	521.284362661205	788.811648494924	0.541500339900007	0.424867549003148	0.0336321110968446	0.426137620783677	0.39026116093744	0.0375001043114448	0.0972382609947336	0.0483400051318416
Image_02	ad-libitum	ZT4	R-F_AL_WT_ZT_04_	WT.AL.ZT4	1	2	06_2014	AL	60.77	35.61	0.4	1.48	16015	19448	2668	0.168290854572714	3123	4084	3251	306.6020420516	530.951392773554	859.28709601029	0.618042810029167	0.358099032469801	0.0238581575010315	0.483565070351313	0.322906901327364	0.0252371737486094	0.119244346170092	0.0477284616692209
Image_03	ad-libitum	ZT8	R-F_AL_WT_ZT_08_	WT.AL.ZT8	1	3	06_2014	AL	57.91	37.3	0.66	2.51	21359	20458	3719	0.159720354934122	2789	3916.5	2932	310.985890445999	533.485645077335	816.358852999858	0.56960086051124	0.386292549535836	0.0441065899529245	0.461567147152465	0.335583637910556	0.0431288600028571	0.0995052824852059	0.056203847372775
Image_04	ad-libitum	ZT12	R-F_AL_WT_ZT_12_	WT.AL.ZT12	1	4	06_2014	AL	66.46	29.6	0.75	1.23	20339	28782	4133	0.213888216791677	2177	3144.5	2332	312.039001258494	524.628919208025	697.74795070162	0.674548930334378	0.313181272584499	0.0122697970811233	0.514815110047472	0.258764071935363	0.0125326012254888	0.15200594406743	0.0607014922873914
Image_05	ad-libitum	ZT16	R-F_AL_WT_ZT_16_	WT.AL.ZT16	1	5	06_2014	AL	58.77	36.95	0.54	1.96	19834	30055	7789	0.170882013095391	2323.5	3257	2442	335.360417810757	568.309916397422	857.670789359337	0.553707543960375	0.389138260118189	0.0571541959214358	0.421269896610583	0.351258460709619	0.0565896295844078	0.113528153563923	0.052188264335002
Image_06	ad-libitum	ZT20	R-F_AL_WT_ZT_20_	WT.AL.ZT20	1	6	06_2014	AL	61.24	33.84	0.78	1.58	23996	29449	10603	0.149768933320758	2439	3318	2543	318.70695603883	533.570718121365	780.464717247232	0.613580959180583	0.357630251514374	0.0287887893050433	0.487056419821964	0.332736174440052	0.0304384724172255	0.109209952560511	0.0392279891834322
Image_07	ad-libitum	ZT24	R-F_AL_WT_ZT_24_	WT.AL.ZT24	1	7	06_2014	AL	47.29	44.51	0.49	5.79	15782	23297	2828	0.154526166902405	2921	4104	3062.5	308.285326003453	526.7145524067	825.997605438494	0.464481869078803	0.445481394222041	0.0900367366991557	0.366677193388783	0.389103205457967	0.0896934342508453	0.0847896392572162	0.0626083605197724
Image_08	ad-libitum	ZT28	R-F_AL_WT_ZT_28_	WT.AL.ZT28	1	8	06_2014	AL	52.57	42.22	0.77	2.68	24774	28540	6430	0.152099533437014	2552	3553	2676.5	309.954045393788	533.945783544292	813.752976995142	0.525504160144325	0.428638833522609	0.0458570063330668	0.417625265788386	0.381355713872425	0.0489194869021749	0.09390391596655	0.0562394431209792
Image_09	ad-libitum	ZT32	R-F_AL_WT_ZT_32_	WT.AL.ZT32	1	9	06_2014	AL	60.02	36.16	0.47	1.73	16116	32379	3058	0.173969914977109	2373	3335.5	2488	310.582078059266	526.166087332018	757.268984127051	0.596951418974827	0.384455812565294	0.0185927684598788	0.474124522349983	0.330618447435708	0.0212871152372001	0.11333924211468	0.0603605550770129
Image_10	ad-libitum	ZT36	R-F_AL_WT_ZT_36_	WT.AL.ZT36	1	10	06_2014	AL	53.85	40.37	0.88	2.85	14913	31368	3684	0.21471226927253	1922	2805	2042.5	304.686144011595	541.367550897899	797.739980526658	0.564477725628908	0.405569762617187	0.0299525117539059	0.427977959719903	0.323576699462902	0.0337330715446651	0.128850029666292	0.084536933617071
Image_11	ad-libitum	ZT40	R-F_AL_WT_ZT_40_	WT.AL.ZT40	1	11	06_2014	AL	65.62	29.82	0.47	1.36	23138	21266	8273	0.222168499939562	1643	2319.5	1757	331.244165148867	570.034455380565	825.414542178848	0.644702808517587	0.325161529852913	0.0301356616295009	0.470840846939792	0.274416123803103	0.0325745293175422	0.158547308726485	0.061493027687642
Image_12	ad-libitum	ZT44	R-F_AL_WT_ZT_44_	WT.AL.ZT44	1	12	06_2014	AL	56.99	38.23	0.79	2.25	15964	28540	5329	0.165321823981985	2113	2996	2208	322.10248126738	540.425771595436	816.08692029105	0.538031734943447	0.412833044895075	0.0491352201614779	0.420343439229789	0.36344199135793	0.0508927454302956	0.10331834174735	0.0588206827596179
Image_37	ad-libitum	ZT48	R-F_AL_WT_ZT_00_	WT.AL.ZT48	2	1	02_2015	AL	62.02	32.2	0.43	2.48	22198	31257	9881	0.1855075397227	1721.5	2313	1813	314.224805647555	537.767463603119	818.146233841902	0.61401472599542	0.34705287092069	0.0389324030838899	0.443480527483508	0.327636787468864	0.0433751453249283	0.142219279842415	0.0418985038450119
Image_38	ad-libitum	ZT52	R-F_AL_WT_ZT_04_	WT.AL.ZT52	2	2	02_2015	AL	59.85	35.43	0.45	1.82	26421	19246	6133	0.136800913093103	2329	3151	2408	288.779179107815	478.500729702192	605.518002380811	0.624281150416635	0.357225030338276	0.0184938192450892	0.508653413589567	0.333521882721573	0.0210237905957569	0.100514984115438	0.036285928973345
